InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
574143,47518F,ICON PLACEMAT POP ART ELVIS,51,11/3/2011 11:27,0.12,18041.0,United Kingdom
557488,20731,POSY CANDY BAG,1,6/20/2011 14:48,1.25,15581.0,United Kingdom
560090,21710,FOLDING UMBRELLA PINKWHITE POLKADOT,1,7/14/2011 16:46,3.29,,United Kingdom
551414,22938,CUPCAKE LACE PAPER SET 6,12,4/28/2011 13:35,1.95,15622.0,United Kingdom
576540,21034,REX CASH+CARRY JUMBO SHOPPER,1,11/15/2011 12:48,0.95,18043.0,United Kingdom
550470,21390,FILIGRIS HEART WITH BUTTERFLY,1,4/18/2011 13:49,2.46,,United Kingdom
568495,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,9/27/2011 12:08,4.25,14755.0,United Kingdom
569220,22951,60 CAKE CASES DOLLY GIRL DESIGN,2,10/2/2011 13:26,0.55,16007.0,United Kingdom
543306,22467,GUMBALL COAT RACK,1,2/7/2011 11:56,2.55,16686.0,United Kingdom
575972,23301,GARDENERS KNEELING PAD KEEP CALM ,1,11/13/2011 13:01,1.65,14499.0,United Kingdom
566006,22338,STAR DECORATION PAINTED ZINC ,24,9/8/2011 12:01,0.65,13018.0,United Kingdom
537738,22113,GREY HEART HOT WATER BOTTLE,4,12/8/2010 11:02,3.75,17706.0,United Kingdom
569700,21811,HANGING HEART WITH BELL,1,10/5/2011 15:56,0.83,,United Kingdom
578928,82600,N0 SINGING METAL SIGN,3,11/27/2011 12:29,2.1,15443.0,United Kingdom
556882,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,6/15/2011 12:21,6.95,14395.0,United Kingdom
560434,21943,CAKES AND RABBITS DESIGN FLANNEL ,1,7/18/2011 15:56,0.83,,United Kingdom
569374,21090,SET/6 COLLAGE PAPER PLATES,10,10/3/2011 16:14,0.83,,United Kingdom
547909,21172,PARTY METAL SIGN ,3,3/28/2011 12:22,1.45,15033.0,United Kingdom
536876,22669,RED BABY BUNTING ,2,12/3/2010 11:36,5.91,,United Kingdom
560426,23209,LUNCH BAG DOILEY PATTERN ,10,7/18/2011 15:15,1.65,14038.0,United Kingdom
569246,22142,CHRISTMAS CRAFT WHITE FAIRY ,3,10/3/2011 9:57,3.29,14096.0,United Kingdom
572330,23154,SET OF 4 JAM JAR MAGNETS,2,10/24/2011 10:17,2.08,16426.0,United Kingdom
559941,22699,ROSES REGENCY TEACUP AND SAUCER ,144,7/14/2011 10:20,2.55,17396.0,United Kingdom
559538,48184,DOORMAT ENGLISH ROSE ,1,7/10/2011 12:25,7.95,16880.0,United Kingdom
552659,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,1,5/10/2011 15:03,6.63,,United Kingdom
547910,22650,CERAMIC PIRATE CHEST MONEY BANK,2,3/28/2011 12:23,1.45,14159.0,United Kingdom
564630,47566,PARTY BUNTING,4,8/26/2011 11:53,4.95,13644.0,United Kingdom
543162,21733,RED HANGING HEART T-LIGHT HOLDER,3,2/3/2011 18:08,2.95,17507.0,United Kingdom
556876,21089,SET/6 GREEN SPRING PAPER CUPS,5,6/15/2011 11:56,0.19,16241.0,United Kingdom
576617,23508,MINI PLAYING CARDS DOLLY GIRL ,1,11/15/2011 16:57,0.83,,United Kingdom
555277,22919,HERB MARKER MINT,1,6/1/2011 17:30,1.63,,United Kingdom
571280,22617,BAKING SET SPACEBOY DESIGN,1,10/16/2011 13:08,4.95,18122.0,United Kingdom
557263,22551,PLASTERS IN TIN SPACEBOY,96,6/19/2011 11:08,1.45,14646.0,Netherlands
579512,23120,PACK OF 6 SMALL FRUIT STRAWS,1,11/29/2011 16:47,0.79,,United Kingdom
580611,23498,CLASSIC BICYCLE CLIPS ,2,12/5/2011 11:49,1.45,12748.0,United Kingdom
546892,22247,BUNNY DECORATION MAGIC GARDEN,1,3/17/2011 18:20,1.63,,United Kingdom
560491,85099B,JUMBO BAG RED RETROSPOT,1,7/19/2011 10:51,2.08,12415.0,Australia
581574,23199,JUMBO BAG APPLES,10,12/9/2011 12:09,2.08,12526.0,Germany
553384,21363,HOME SMALL WOOD LETTERS,1,5/16/2011 15:53,4.95,16899.0,United Kingdom
575985,84375,SET OF 20 KIDS COOKIE CUTTERS,1,11/13/2011 14:09,2.1,17841.0,United Kingdom
571715,22470,HEART OF WICKER LARGE,5,10/18/2011 17:04,2.95,17576.0,United Kingdom
578054,23329,DECORATIVE WICKER HEART LARGE,12,11/22/2011 14:59,1.65,14911.0,EIRE
574544,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,12,11/4/2011 14:49,1.65,17084.0,United Kingdom
580911,23090,VINTAGE GLASS T-LIGHT HOLDER,12,12/6/2011 13:30,0.83,14503.0,United Kingdom
537828,22112,CHOCOLATE HOT WATER BOTTLE,3,12/8/2010 14:43,4.95,15680.0,United Kingdom
552313,20726,LUNCH BAG WOODLAND,10,5/8/2011 16:03,1.65,13139.0,United Kingdom
556202,90214A,"LETTER ""A"" BLING KEY RING",1,6/9/2011 13:08,1.25,14606.0,United Kingdom
550458,22907,PACK OF 20 NAPKINS PANTRY DESIGN,2,4/18/2011 13:13,1.63,,United Kingdom
561626,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,2,7/28/2011 14:03,0.42,14898.0,United Kingdom
569866,22379,RECYCLING BAG RETROSPOT ,4,10/6/2011 14:50,2.1,12757.0,Portugal
557259,23170,REGENCY TEA PLATE ROSES ,12,6/19/2011 10:38,1.65,15909.0,United Kingdom
550471,21231,SWEETHEART CERAMIC TRINKET BOX,1,4/18/2011 13:52,2.46,,United Kingdom
559693,21849,SILVER DIAMANTE PEN IN GIFT BOX,3,7/11/2011 16:21,2.46,,United Kingdom
581217,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,12/8/2011 9:20,8.29,,United Kingdom
544681,22301,COFFEE MUG CAT + BIRD DESIGN,1,2/22/2011 16:28,4.96,,United Kingdom
550458,22717,CARD DOG AND BALL ,1,4/18/2011 13:13,0.83,,United Kingdom
566952,21906,PHARMACIE FIRST AID TIN,1,9/15/2011 16:37,13.29,,United Kingdom
560606,21382,SET/4 SPRING FLOWER DECORATION,24,7/20/2011 10:08,0.75,17422.0,United Kingdom
574960,22865,HAND WARMER OWL DESIGN,12,11/8/2011 10:17,2.1,17091.0,United Kingdom
563580,21742,LARGE ROUND WICKER PLATTER ,1,8/17/2011 15:53,5.95,16706.0,United Kingdom
539958,22032,BOTANICAL LILY GREETING CARD,5,12/23/2010 13:26,0.43,,United Kingdom
576463,21932,SCANDINAVIAN PAISLEY PICNIC BAG,3,11/15/2011 11:37,1.65,17974.0,United Kingdom
558441,22417,PACK OF 60 SPACEBOY CAKE CASES,1,6/29/2011 12:59,0.55,14606.0,United Kingdom
577315,22865,HAND WARMER OWL DESIGN,5,11/18/2011 13:25,2.1,17811.0,United Kingdom
538071,22502,PICNIC BASKET WICKER SMALL,3,12/9/2010 14:09,8.47,,United Kingdom
581498,22694,WICKER STAR ,1,12/9/2011 10:26,3.29,,United Kingdom
547042,22393,PAPERWEIGHT VINTAGE COLLAGE,1,3/20/2011 11:00,4.96,,United Kingdom
566952,20982,12 PENCILS TALL TUBE SKULLS,20,9/15/2011 16:37,0.85,,United Kingdom
545164,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,2/28/2011 13:40,1.95,16458.0,United Kingdom
565776,23167,SMALL CERAMIC TOP STORAGE JAR ,96,9/6/2011 14:38,0.69,15311.0,United Kingdom
551547,79321,CHILLI LIGHTS,5,5/3/2011 9:44,12.46,,United Kingdom
545345,22487,WHITE WOOD GARDEN PLANT LADDER,1,3/2/2011 9:33,9.95,14180.0,United Kingdom
553935,21987,PACK OF 6 SKULL PAPER CUPS,6,5/20/2011 10:32,0.65,15856.0,United Kingdom
581417,22084,PAPER CHAIN KIT EMPIRE,6,12/8/2011 15:01,2.95,13013.0,United Kingdom
571691,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,12,10/18/2011 14:34,0.85,13860.0,United Kingdom
574033,23451,SQUARE MINI PORTRAIT FRAME,6,11/2/2011 12:44,1.95,16558.0,United Kingdom
540821,37482P,CUBIC MUG PINK POLKADOT,1,1/11/2011 13:16,5.91,,United Kingdom
556632,21473,SWEETHEART CREAM STEEL TABLE RECT,2,6/13/2011 15:09,19.95,16987.0,United Kingdom
564079,23344,JUMBO BAG 50'S CHRISTMAS ,10,8/22/2011 15:55,2.08,12627.0,Germany
571190,22959,WRAP CHRISTMAS VILLAGE,25,10/14/2011 11:43,0.42,17771.0,United Kingdom
571185,23514,EMBROIDERED RIBBON REEL SALLY ,6,10/14/2011 11:15,2.08,13047.0,United Kingdom
559836,22219,LOVEBIRD HANGING DECORATION WHITE ,12,7/13/2011 10:09,0.85,13911.0,United Kingdom
555397,22149,FELTCRAFT 6 FLOWER FRIENDS,1,6/2/2011 17:26,4.13,,United Kingdom
538371,22759,SET OF 3 NOTEBOOKS IN PARCEL,3,12/12/2010 11:07,1.65,15570.0,United Kingdom
565596,23120,PACK OF 6 SMALL FRUIT STRAWS,8,9/5/2011 14:27,0.42,16444.0,United Kingdom
562371,23293,SET OF 12 FAIRY CAKE BAKING CASES,12,8/4/2011 14:30,0.83,13709.0,United Kingdom
563076,22568,FELTCRAFT CUSHION OWL,24,8/11/2011 16:12,3.39,14646.0,Netherlands
569401,23129,HEART SHAPED HOLLY WREATH,4,10/4/2011 8:56,4.15,15111.0,United Kingdom
575668,23581,JUMBO BAG PAISLEY PARK,1,11/10/2011 14:59,2.08,18283.0,United Kingdom
550973,22925,BLUE GIANT GARDEN THERMOMETER,4,4/21/2011 17:06,5.95,14031.0,United Kingdom
C562147,21232,STRAWBERRY CERAMIC TRINKET BOX,-1,8/3/2011 10:47,1.25,16180.0,United Kingdom
559684,85099B,JUMBO BAG RED RETROSPOT,20,7/11/2011 15:05,2.08,14367.0,United Kingdom
577296,22574,HEART WOODEN CHRISTMAS DECORATION,4,11/18/2011 12:47,0.85,17286.0,United Kingdom
578082,35970,ZINC FOLKART SLEIGH BELLS,12,11/22/2011 16:33,1.69,12775.0,Netherlands
555147,21329,DINOSAURS  WRITING SET ,12,5/31/2011 15:41,1.65,13505.0,Switzerland
577504,23199,JUMBO BAG APPLES,2,11/20/2011 12:36,2.08,14159.0,United Kingdom
577156,22061,LARGE CAKE STAND  HANGING STRAWBERY,2,11/18/2011 9:57,9.95,13471.0,United Kingdom
563073,22023,EMPIRE BIRTHDAY CARD,12,8/11/2011 15:56,0.42,18235.0,United Kingdom
561471,23209,LUNCH BAG DOILEY PATTERN ,20,7/27/2011 13:14,1.65,14911.0,EIRE
550320,22960,JAM MAKING SET WITH JARS,5,4/17/2011 12:38,4.25,12748.0,United Kingdom
545716,20713,JUMBO BAG OWLS,2,3/7/2011 10:15,4.13,,United Kingdom
560106,22726,ALARM CLOCK BAKELIKE GREEN,3,7/14/2011 20:01,3.75,17554.0,United Kingdom
565766,22982,PANTRY PASTRY BRUSH,1,9/6/2011 14:23,1.25,17841.0,United Kingdom
578344,21981,PACK OF 12 WOODLAND TISSUES ,5,11/24/2011 9:21,0.83,,United Kingdom
570244,22603,CHRISTMAS RETROSPOT TREE WOOD,14,10/9/2011 16:05,0.85,14514.0,United Kingdom
571716,21313,GLASS HEART T-LIGHT HOLDER ,2,10/18/2011 17:05,1.63,,United Kingdom
568650,20674,GREEN POLKADOT BOWL,16,9/28/2011 11:56,1.25,13505.0,Switzerland
562264,22716,CARD CIRCUS PARADE,2,8/3/2011 16:14,0.83,,United Kingdom
561488,22534,MAGIC DRAWING SLATE SPACEBOY ,24,7/27/2011 13:51,0.42,16609.0,United Kingdom
562199,23207,LUNCH BAG ALPHABET DESIGN,1,8/3/2011 12:20,1.65,12748.0,United Kingdom
578858,21889,WOODEN BOX OF DOMINOES,6,11/27/2011 11:22,1.25,18145.0,United Kingdom
575146,22553,PLASTERS IN TIN SKULLS,72,11/8/2011 15:45,1.65,17313.0,United Kingdom
577057,23080,RED METAL BOX TOP SECRET,1,11/17/2011 14:26,8.25,12748.0,United Kingdom
547583,22966,GINGERBREAD MAN COOKIE CUTTER,42,3/24/2011 11:07,1.25,12901.0,United Kingdom
540238,85049H,URBAN BLACK RIBBONS ,1,1/5/2011 14:44,0.85,,United Kingdom
552734,22629,SPACEBOY LUNCH BOX ,64,5/11/2011 10:49,1.65,17428.0,United Kingdom
559051,22651,GENTLEMAN SHIRT REPAIR KIT ,4,7/5/2011 16:47,0.79,,United Kingdom
572549,35953,FOLKART STAR CHRISTMAS DECORATIONS,24,10/24/2011 17:03,0.61,,United Kingdom
546236,22751,FELTCRAFT PRINCESS OLIVIA DOLL,4,3/10/2011 12:48,3.75,12370.0,Cyprus
555573,22178,VICTORIAN GLASS HANGING T-LIGHT,6,6/5/2011 15:46,1.25,15349.0,United Kingdom
555851,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,3,6/7/2011 13:37,0.85,13050.0,United Kingdom
556248,22918,HERB MARKER PARSLEY,12,6/9/2011 16:33,0.65,15681.0,United Kingdom
574076,22483,RED GINGHAM TEDDY BEAR ,1,11/2/2011 15:38,5.79,,United Kingdom
565443,22492,MINI PAINT SET VINTAGE ,36,9/4/2011 14:22,0.65,12567.0,France
548714,21251,DINOSAUR HEIGHT CHART STICKER SET,1,4/3/2011 15:07,2.95,17337.0,United Kingdom
555418,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,6,6/3/2011 10:19,3.25,15498.0,United Kingdom
C554336,22431,WATERING CAN BLUE ELEPHANT,-1,5/23/2011 17:20,1.95,12474.0,Germany
569545,47504K,ENGLISH ROSE GARDEN SECATEURS,1,10/4/2011 16:37,3.29,,United Kingdom
551547,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,5/3/2011 9:44,3.29,,United Kingdom
555945,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4,6/8/2011 10:36,4.95,17409.0,United Kingdom
578149,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,7,11/23/2011 11:11,16.63,,United Kingdom
550541,22837,HOT WATER BOTTLE BABUSHKA ,1,4/19/2011 11:33,9.13,,United Kingdom
557742,23252,VINTAGE RED ENAMEL TRIM JUG ,8,6/22/2011 11:46,3.75,14911.0,EIRE
567183,22865,HAND WARMER OWL DESIGN,2,9/18/2011 15:32,2.1,14769.0,United Kingdom
571676,23331,DECORATIVE WICKER HEART SMALL,2,10/18/2011 13:29,0.63,16910.0,United Kingdom
560090,79144B,PAINTED LIGHTBULB STAR+ MOON,2,7/14/2011 16:46,0.83,,United Kingdom
548974,22147,FELTCRAFT BUTTERFLY HEARTS,12,4/5/2011 11:47,1.45,15194.0,United Kingdom
536876,85232B,SET OF 3 BABUSHKA STACKING TINS,3,12/3/2010 11:36,4.95,,United Kingdom
552457,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,5/9/2011 14:40,1.25,16477.0,United Kingdom
562031,15056N,EDWARDIAN PARASOL NATURAL,2,8/1/2011 17:37,5.95,16984.0,United Kingdom
572923,22813,PACK 3 BOXES BIRD PANNETONE ,12,10/27/2011 8:35,1.95,15948.0,United Kingdom
553671,21034,REX CASH+CARRY JUMBO SHOPPER,1,5/18/2011 12:37,0.95,13659.0,United Kingdom
572183,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,10/21/2011 10:50,3.75,16153.0,United Kingdom
536756,22197,SMALL POPCORN HOLDER,3,12/2/2010 14:23,0.85,,United Kingdom
554093,82580,BATHROOM METAL SIGN,12,5/22/2011 12:49,0.55,14837.0,United Kingdom
562809,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,8/9/2011 15:12,6.95,16775.0,United Kingdom
558759,22271,FELTCRAFT DOLL ROSIE,2,7/3/2011 12:36,2.95,13148.0,United Kingdom
537823,21442,GREEN BIRDHOUSE DECORATION,1,12/8/2010 14:25,1.66,,United Kingdom
575751,84946,ANTIQUE SILVER T-LIGHT GLASS,12,11/11/2011 10:32,1.25,14911.0,EIRE
542741,21063,PARTY INVITES JAZZ HEARTS,6,1/31/2011 16:02,0.85,17375.0,United Kingdom
538171,22367,CHILDRENS APRON SPACEBOY DESIGN,4,12/9/2010 20:01,1.95,17530.0,United Kingdom
564338,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,8/24/2011 14:41,2.55,12649.0,Germany
565231,15058B,PINK POLKADOT GARDEN PARASOL,1,9/2/2011 9:26,10.79,,United Kingdom
580730,23542,WALL ART 70'S ALPHABET ,1,12/5/2011 17:28,16.63,,United Kingdom
544484,21903,MAN FLU METAL SIGN,12,2/21/2011 11:10,2.1,15321.0,United Kingdom
558875,85131A,BEADED PEARL HEART WHITE ON STICK,3,7/4/2011 13:35,1.25,13301.0,United Kingdom
552660,22090,PAPER BUNTING RETROSPOT,1,5/10/2011 15:03,6.63,,United Kingdom
542268,22435,SET OF 9 HEART SHAPED BALLOONS,12,1/27/2011 8:30,1.25,15358.0,United Kingdom
552956,48129,DOORMAT TOPIARY,2,5/12/2011 12:34,7.95,12431.0,Australia
537362,22557,PLASTERS IN TIN VINTAGE PAISLEY ,3,12/6/2010 12:34,1.65,17596.0,United Kingdom
555004,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,5/31/2011 9:37,0.85,13549.0,United Kingdom
563213,23322,LARGE WHITE HEART OF WICKER,5,8/14/2011 12:55,2.95,16115.0,United Kingdom
555385,23162,REGENCY TEA STRAINER,2,6/2/2011 15:22,3.75,15658.0,United Kingdom
538349,21067,VINTAGE RED TEATIME MUG,1,12/10/2010 14:59,2.51,,United Kingdom
544667,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,16,2/22/2011 15:09,3.75,17511.0,United Kingdom
539010,20713,JUMBO BAG OWLS,2,12/15/2010 13:24,1.95,15005.0,United Kingdom
569371,22588,CARD HOLDER GINGHAM HEART,2,10/3/2011 15:52,2.89,14651.0,United Kingdom
577689,23298,SPOTTY BUNTING,3,11/21/2011 11:29,4.95,17664.0,United Kingdom
562219,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,8/3/2011 14:14,4.25,15089.0,United Kingdom
562841,22681,FRENCH BLUE METAL DOOR SIGN 6,10,8/9/2011 16:42,1.25,17675.0,United Kingdom
576593,22904,CALENDAR PAPER CUT DESIGN,2,11/15/2011 14:48,2.95,15720.0,United Kingdom
573377,23182,TOILET SIGN OCCUPIED OR VACANT,2,10/30/2011 13:51,0.83,14653.0,United Kingdom
567912,21071,VINTAGE BILLBOARD DRINK ME MUG,2,9/22/2011 17:07,1.25,15555.0,United Kingdom
543539,22667,RECIPE BOX RETROSPOT ,3,2/9/2011 14:18,2.95,17757.0,United Kingdom
560125,23319,BOX OF 6 MINI 50'S CRACKERS,1,7/15/2011 10:44,2.49,18118.0,United Kingdom
578065,46776F,WOVEN ROSE GARDEN CUSHION COVER ,1,11/22/2011 15:41,4.13,,United Kingdom
553197,21169,YOU'RE CONFUSING ME METAL SIGN ,1,5/15/2011 14:32,1.69,17263.0,United Kingdom
576071,23203,JUMBO BAG VINTAGE DOILY ,1,11/13/2011 16:03,2.08,18069.0,United Kingdom
562348,21931,JUMBO STORAGE BAG SUKI,100,8/4/2011 12:36,1.79,17511.0,United Kingdom
560535,22985,WRAP BILLBOARD FONTS DESIGN,50,7/19/2011 12:13,0.42,13167.0,United Kingdom
574544,22028,PENNY FARTHING BIRTHDAY CARD,12,11/4/2011 14:49,0.42,17084.0,United Kingdom
575007,22483,RED GINGHAM TEDDY BEAR ,6,11/8/2011 11:20,2.95,14140.0,United Kingdom
539958,21528,DAIRY MAID TRADITIONAL TEAPOT ,1,12/23/2010 13:26,13.57,,United Kingdom
554151,22029,SPACEBOY BIRTHDAY CARD,12,5/23/2011 11:07,0.42,14049.0,United Kingdom
554509,85049F,BABY BOOM RIBBONS ,1,5/24/2011 15:45,1.25,17375.0,United Kingdom
549543,35965,FOLKART HEART NAPKIN RINGS,6,4/10/2011 11:14,0.79,18118.0,United Kingdom
546654,21100,CHARLIE AND LOLA CHARLOTTE BAG,1,3/15/2011 14:18,4.13,,United Kingdom
541005,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,1/13/2011 10:39,1.95,16161.0,United Kingdom
540561,82494L,WOODEN FRAME ANTIQUE WHITE ,6,1/10/2011 10:32,2.95,13004.0,United Kingdom
562715,22077,6 RIBBONS RUSTIC CHARM,2,8/8/2011 15:34,3.29,,United Kingdom
570475,23240,SET OF 4 KNICK KNACK TINS DOILY ,1,10/10/2011 16:47,4.15,,United Kingdom
546998,22507,MEMO BOARD RETROSPOT  DESIGN,1,3/18/2011 13:32,4.95,16023.0,United Kingdom
549016,22697,GREEN REGENCY TEACUP AND SAUCER,6,4/5/2011 15:20,2.95,16696.0,United Kingdom
558870,15056BL,EDWARDIAN PARASOL BLACK,120,7/4/2011 12:58,4.95,14145.0,United Kingdom
564017,22900,SET 2 TEA TOWELS I LOVE LONDON ,6,8/22/2011 11:44,3.25,14057.0,United Kingdom
578844,21329,DINOSAURS  WRITING SET ,1,11/25/2011 16:14,3.29,,United Kingdom
540355,22738,RIBBON REEL SNOWY VILLAGE,2,1/6/2011 15:11,2.51,,United Kingdom
541422,22031,BOTANICAL LAVENDER BIRTHDAY CARD,9,1/17/2011 17:48,0.42,,United Kingdom
572550,21485,RETROSPOT HEART HOT WATER BOTTLE,1,10/24/2011 17:06,10.79,,United Kingdom
561513,84924A,WAKE UP COCKEREL CALENDAR SIGN ,1,7/27/2011 15:12,7.46,,United Kingdom
537666,22988,SOLDIERS EGG CUP ,3,12/7/2010 18:36,2.51,,United Kingdom
541530,71459,HANGING JAM JAR T-LIGHT HOLDER,12,1/19/2011 10:56,0.85,14769.0,United Kingdom
560385,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1,7/18/2011 12:53,4.95,14583.0,United Kingdom
C559334,20897,VINTAGE NOTEBOOK PARIS DAYS,-6,7/7/2011 15:50,2.95,16581.0,United Kingdom
577723,22726,ALARM CLOCK BAKELIKE GREEN,3,11/21/2011 12:36,3.75,16713.0,United Kingdom
564042,23356,LOVE HOT WATER BOTTLE,1,8/22/2011 12:52,5.95,15443.0,United Kingdom
562558,22383,LUNCH BAG SUKI DESIGN ,1,8/5/2011 16:43,1.65,13451.0,United Kingdom
547892,POST,POSTAGE,6,3/28/2011 10:15,18.0,12669.0,France
575177,22547,MINI JIGSAW DINOSAUR ,1,11/8/2011 18:41,0.83,,United Kingdom
557804,23032,DRAWER KNOB CRACKLE GLAZE IVORY,12,6/23/2011 10:24,1.65,18198.0,United Kingdom
573577,22142,CHRISTMAS CRAFT WHITE FAIRY ,100,10/31/2011 14:12,1.25,17396.0,United Kingdom
571219,21506,"FANCY FONT BIRTHDAY CARD, ",12,10/14/2011 13:35,0.42,15601.0,United Kingdom
569414,84029E,RED WOOLLY HOTTIE WHITE HEART.,3,10/4/2011 10:11,9.13,,United Kingdom
537653,21260,FIRST AID TIN,1,12/7/2010 15:54,3.25,17897.0,United Kingdom
579468,22832,BROCANTE SHELF WITH HOOKS,1,11/29/2011 14:58,10.75,14711.0,United Kingdom
566577,22488,NATURAL SLATE RECTANGLE CHALKBOARD,1,9/13/2011 13:29,3.29,,United Kingdom
561027,21531,RED RETROSPOT SUGAR JAM BOWL,24,7/24/2011 10:54,2.1,13802.0,United Kingdom
572082,23318,BOX OF 6 MINI VINTAGE CRACKERS,12,10/20/2011 14:18,2.49,17672.0,United Kingdom
559862,22356,CHARLOTTE BAG PINK POLKADOT,10,7/13/2011 10:30,0.85,12782.0,Portugal
572096,21620,SET OF 4 ROSE BOTANICAL CANDLES,2,10/20/2011 15:20,1.25,16813.0,United Kingdom
567482,23211,RED ROCKING HORSE HAND PAINTED,4,9/20/2011 13:42,1.25,16464.0,United Kingdom
573340,35967,FOLK ART METAL STAR T-LIGHT HOLDER,12,10/30/2011 11:55,0.38,14159.0,United Kingdom
552315,23256,CHILDRENS CUTLERY SPACEBOY ,4,5/8/2011 16:10,4.15,12700.0,France
546769,22248,DECORATION  PINK CHICK MAGIC GARDEN,16,3/16/2011 14:57,0.85,17504.0,United Kingdom
543055,48184,DOORMAT ENGLISH ROSE ,2,2/3/2011 10:41,7.95,12502.0,Spain
566275,85150,LADIES & GENTLEMEN METAL SIGN,6,9/11/2011 13:58,2.55,16549.0,United Kingdom
562455,16156S,WRAP PINK FAIRY CAKES ,25,8/5/2011 10:32,0.42,18097.0,United Kingdom
543447,21927,BLUE/CREAM STRIPE CUSHION COVER ,12,2/8/2011 12:01,1.25,16265.0,United Kingdom
559816,23306,SET OF 36 DOILIES PANTRY DESIGN,1,7/12/2011 16:11,2.92,,United Kingdom
558074,22356,CHARLOTTE BAG PINK POLKADOT,100,6/24/2011 16:38,0.72,13791.0,United Kingdom
579267,23534,WALL ART STOP FOR TEA ,3,11/29/2011 9:42,5.95,14961.0,United Kingdom
568346,21154,RED RETROSPOT OVEN GLOVE ,1,9/26/2011 15:28,2.46,14096.0,United Kingdom
562999,22384,LUNCH BAG PINK POLKADOT,10,8/11/2011 11:51,1.65,15117.0,United Kingdom
551193,85214,TUB 24 PINK FLOWER PEGS,2,4/27/2011 11:05,1.65,17954.0,United Kingdom
537238,22565,FELTCRAFT HAIRBANDS PINK AND WHITE ,5,12/6/2010 10:03,0.85,16161.0,United Kingdom
547644,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,3/24/2011 11:38,2.95,14267.0,United Kingdom
557472,15058A,BLUE POLKADOT GARDEN PARASOL,6,6/20/2011 13:27,7.95,12432.0,Norway
570420,84849D,HOT BATHS SOAP HOLDER,3,10/10/2011 13:33,1.69,17841.0,United Kingdom
544772,85152,HAND OVER THE CHOCOLATE   SIGN ,1,2/23/2011 11:12,4.13,,United Kingdom
573373,22383,LUNCH BAG SUKI DESIGN ,1,10/30/2011 13:37,1.65,14684.0,United Kingdom
568135,21212,PACK OF 72 RETROSPOT CAKE CASES,3,9/23/2011 17:04,1.25,,United Kingdom
560225,22076,6 RIBBONS EMPIRE  ,1,7/15/2011 16:27,3.29,,United Kingdom
564760,22952,60 CAKE CASES VINTAGE CHRISTMAS,1,8/30/2011 10:47,1.25,,United Kingdom
545701,22726,ALARM CLOCK BAKELIKE GREEN,1,3/6/2011 15:17,3.75,17107.0,United Kingdom
566726,23135,SMALL ZINC HEART WALL ORGANISER,1,9/14/2011 13:12,5.75,15021.0,United Kingdom
551656,20685,DOORMAT RED RETROSPOT,2,5/3/2011 12:10,7.95,14911.0,EIRE
580092,22726,ALARM CLOCK BAKELIKE GREEN,6,12/1/2011 14:38,3.75,13969.0,United Kingdom
543370,21756,BATH BUILDING BLOCK WORD,3,2/7/2011 14:51,5.95,12359.0,Cyprus
580295,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,12/2/2011 13:49,2.95,17841.0,United Kingdom
557790,21166,COOK WITH WINE METAL SIGN ,12,6/22/2011 16:33,2.08,14099.0,United Kingdom
552669,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,6,5/10/2011 15:05,0.83,16710.0,United Kingdom
563638,21427,SKULLS STORAGE BOX SMALL,2,8/18/2011 10:36,2.1,15311.0,United Kingdom
542633,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,4,1/31/2011 10:31,3.29,,United Kingdom
555015,84596F,SMALL MARSHMALLOWS PINK BOWL,16,5/31/2011 10:45,0.42,16558.0,United Kingdom
578344,21982,PACK OF 12 SUKI TISSUES ,3,11/24/2011 9:21,0.83,,United Kingdom
576617,21164,HOME SWEET HOME METAL SIGN ,1,11/15/2011 16:57,5.79,,United Kingdom
556203,23221,REINDEER HEART DECORATION SILVER,12,6/9/2011 13:09,0.83,12399.0,Belgium
