InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Year,Month,Revenue
569894,23318,BOX OF 6 MINI VINTAGE CRACKERS,4,2011-10-06T15:53:00.000Z,2.49,15707.0,United Kingdom,2011,October,9.96
578947,20668,DISCO BALL CHRISTMAS DECORATION,72,2011-11-27T13:49:00.000Z,0.12,14547.0,United Kingdom,2011,November,8.64
580272,72780,BLACK SILOUETTE CANDLE PLATE,2,2011-12-02T12:52:00.000Z,0.85,15547.0,United Kingdom,2011,December,1.7
553710,22745,POPPY'S PLAYHOUSE BEDROOM,2,2011-05-18T15:35:00.000Z,2.1,17338.0,United Kingdom,2011,May,4.2
545637,21829,DINOSAUR KEYRINGS ASSORTED,36,2011-03-04T12:16:00.000Z,0.21,15514.0,United Kingdom,2011,March,7.56
539079,22835,HOT WATER BOTTLE I AM SO POORLY,8,2010-12-16T08:39:00.000Z,4.65,17496.0,United Kingdom,2010,December,37.2
574143,47518F,ICON PLACEMAT POP ART ELVIS,51,2011-11-03T11:27:00.000Z,0.12,18041.0,United Kingdom,2011,November,6.12
557488,20731,POSY CANDY BAG,1,2011-06-20T14:48:00.000Z,1.25,15581.0,United Kingdom,2011,June,1.25
551414,22938,CUPCAKE LACE PAPER SET 6,12,2011-04-28T13:35:00.000Z,1.95,15622.0,United Kingdom,2011,April,23.4
576540,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-11-15T12:48:00.000Z,0.95,18043.0,United Kingdom,2011,November,0.95
568495,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2011-09-27T12:08:00.000Z,4.25,14755.0,United Kingdom,2011,September,17.0
569220,22951,60 CAKE CASES DOLLY GIRL DESIGN,2,2011-10-02T13:26:00.000Z,0.55,16007.0,United Kingdom,2011,October,1.1
543306,22467,GUMBALL COAT RACK,1,2011-02-07T11:56:00.000Z,2.55,16686.0,United Kingdom,2011,February,2.55
575972,23301,GARDENERS KNEELING PAD KEEP CALM,1,2011-11-13T13:01:00.000Z,1.65,14499.0,United Kingdom,2011,November,1.65
566006,22338,STAR DECORATION PAINTED ZINC,24,2011-09-08T12:01:00.000Z,0.65,13018.0,United Kingdom,2011,September,15.6
537738,22113,GREY HEART HOT WATER BOTTLE,4,2010-12-08T11:02:00.000Z,3.75,17706.0,United Kingdom,2010,December,15.0
578928,82600,N0 SINGING METAL SIGN,3,2011-11-27T12:29:00.000Z,2.1,15443.0,United Kingdom,2011,November,6.3
556882,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2011-06-15T12:21:00.000Z,6.95,14395.0,United Kingdom,2011,June,13.9
547909,21172,PARTY METAL SIGN,3,2011-03-28T12:22:00.000Z,1.45,15033.0,United Kingdom,2011,March,4.35
560426,23209,LUNCH BAG DOILEY PATTERN,10,2011-07-18T15:15:00.000Z,1.65,14038.0,United Kingdom,2011,July,16.5
569246,22142,CHRISTMAS CRAFT WHITE FAIRY,3,2011-10-03T09:57:00.000Z,3.29,14096.0,United Kingdom,2011,October,9.87
572330,23154,SET OF 4 JAM JAR MAGNETS,2,2011-10-24T10:17:00.000Z,2.08,16426.0,United Kingdom,2011,October,4.16
559941,22699,ROSES REGENCY TEACUP AND SAUCER,144,2011-07-14T10:20:00.000Z,2.55,17396.0,United Kingdom,2011,July,367.2
559538,48184,DOORMAT ENGLISH ROSE,1,2011-07-10T12:25:00.000Z,7.95,16880.0,United Kingdom,2011,July,7.95
547910,22650,CERAMIC PIRATE CHEST MONEY BANK,2,2011-03-28T12:23:00.000Z,1.45,14159.0,United Kingdom,2011,March,2.9
564630,47566,PARTY BUNTING,4,2011-08-26T11:53:00.000Z,4.95,13644.0,United Kingdom,2011,August,19.8
543162,21733,RED HANGING HEART T-LIGHT HOLDER,3,2011-02-03T18:08:00.000Z,2.95,17507.0,United Kingdom,2011,February,8.85
556876,21089,SET/6 GREEN SPRING PAPER CUPS,5,2011-06-15T11:56:00.000Z,0.19,16241.0,United Kingdom,2011,June,0.95
571280,22617,BAKING SET SPACEBOY DESIGN,1,2011-10-16T13:08:00.000Z,4.95,18122.0,United Kingdom,2011,October,4.95
557263,22551,PLASTERS IN TIN SPACEBOY,96,2011-06-19T11:08:00.000Z,1.45,14646.0,Netherlands,2011,June,139.2
580611,23498,CLASSIC BICYCLE CLIPS,2,2011-12-05T11:49:00.000Z,1.45,12748.0,United Kingdom,2011,December,2.9
560491,85099B,JUMBO BAG RED RETROSPOT,1,2011-07-19T10:51:00.000Z,2.08,12415.0,Australia,2011,July,2.08
581574,23199,JUMBO BAG APPLES,10,2011-12-09T12:09:00.000Z,2.08,12526.0,Germany,2011,December,20.8
553384,21363,HOME SMALL WOOD LETTERS,1,2011-05-16T15:53:00.000Z,4.95,16899.0,United Kingdom,2011,May,4.95
575985,84375,SET OF 20 KIDS COOKIE CUTTERS,1,2011-11-13T14:09:00.000Z,2.1,17841.0,United Kingdom,2011,November,2.1
571715,22470,HEART OF WICKER LARGE,5,2011-10-18T17:04:00.000Z,2.95,17576.0,United Kingdom,2011,October,14.75
578054,23329,DECORATIVE WICKER HEART LARGE,12,2011-11-22T14:59:00.000Z,1.65,14911.0,EIRE,2011,November,19.8
574544,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,12,2011-11-04T14:49:00.000Z,1.65,17084.0,United Kingdom,2011,November,19.8
580911,23090,VINTAGE GLASS T-LIGHT HOLDER,12,2011-12-06T13:30:00.000Z,0.83,14503.0,United Kingdom,2011,December,9.96
537828,22112,CHOCOLATE HOT WATER BOTTLE,3,2010-12-08T14:43:00.000Z,4.95,15680.0,United Kingdom,2010,December,14.85
552313,20726,LUNCH BAG WOODLAND,10,2011-05-08T16:03:00.000Z,1.65,13139.0,United Kingdom,2011,May,16.5
556202,90214A,"\"LETTER \"\"A\"\" BLING KEY RING\"",1,2011-06-09T13:08:00.000Z,1.25,14606.0,United Kingdom,2011,June,1.25
561626,22531,MAGIC DRAWING SLATE CIRCUS PARADE,2,2011-07-28T14:03:00.000Z,0.42,14898.0,United Kingdom,2011,July,0.84
569866,22379,RECYCLING BAG RETROSPOT,4,2011-10-06T14:50:00.000Z,2.1,12757.0,Portugal,2011,October,8.4
557259,23170,REGENCY TEA PLATE ROSES,12,2011-06-19T10:38:00.000Z,1.65,15909.0,United Kingdom,2011,June,19.8
560606,21382,SET/4 SPRING FLOWER DECORATION,24,2011-07-20T10:08:00.000Z,0.75,17422.0,United Kingdom,2011,July,18.0
574960,22865,HAND WARMER OWL DESIGN,12,2011-11-08T10:17:00.000Z,2.1,17091.0,United Kingdom,2011,November,25.2
563580,21742,LARGE ROUND WICKER PLATTER,1,2011-08-17T15:53:00.000Z,5.95,16706.0,United Kingdom,2011,August,5.95
576463,21932,SCANDINAVIAN PAISLEY PICNIC BAG,3,2011-11-15T11:37:00.000Z,1.65,17974.0,United Kingdom,2011,November,4.95
558441,22417,PACK OF 60 SPACEBOY CAKE CASES,1,2011-06-29T12:59:00.000Z,0.55,14606.0,United Kingdom,2011,June,0.55
577315,22865,HAND WARMER OWL DESIGN,5,2011-11-18T13:25:00.000Z,2.1,17811.0,United Kingdom,2011,November,10.5
545164,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,2011-02-28T13:40:00.000Z,1.95,16458.0,United Kingdom,2011,February,19.5
565776,23167,SMALL CERAMIC TOP STORAGE JAR,96,2011-09-06T14:38:00.000Z,0.69,15311.0,United Kingdom,2011,September,66.24
545345,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-03-02T09:33:00.000Z,9.95,14180.0,United Kingdom,2011,March,9.95
553935,21987,PACK OF 6 SKULL PAPER CUPS,6,2011-05-20T10:32:00.000Z,0.65,15856.0,United Kingdom,2011,May,3.9
581417,22084,PAPER CHAIN KIT EMPIRE,6,2011-12-08T15:01:00.000Z,2.95,13013.0,United Kingdom,2011,December,17.7
571691,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,12,2011-10-18T14:34:00.000Z,0.85,13860.0,United Kingdom,2011,October,10.2
574033,23451,SQUARE MINI PORTRAIT FRAME,6,2011-11-02T12:44:00.000Z,1.95,16558.0,United Kingdom,2011,November,11.7
556632,21473,SWEETHEART CREAM STEEL TABLE RECT,2,2011-06-13T15:09:00.000Z,19.95,16987.0,United Kingdom,2011,June,39.9
564079,23344,JUMBO BAG 50'S CHRISTMAS,10,2011-08-22T15:55:00.000Z,2.08,12627.0,Germany,2011,August,20.8
571190,22959,WRAP CHRISTMAS VILLAGE,25,2011-10-14T11:43:00.000Z,0.42,17771.0,United Kingdom,2011,October,10.5
571185,23514,EMBROIDERED RIBBON REEL SALLY,6,2011-10-14T11:15:00.000Z,2.08,13047.0,United Kingdom,2011,October,12.48
559836,22219,LOVEBIRD HANGING DECORATION WHITE,12,2011-07-13T10:09:00.000Z,0.85,13911.0,United Kingdom,2011,July,10.2
538371,22759,SET OF 3 NOTEBOOKS IN PARCEL,3,2010-12-12T11:07:00.000Z,1.65,15570.0,United Kingdom,2010,December,4.95
565596,23120,PACK OF 6 SMALL FRUIT STRAWS,8,2011-09-05T14:27:00.000Z,0.42,16444.0,United Kingdom,2011,September,3.36
562371,23293,SET OF 12 FAIRY CAKE BAKING CASES,12,2011-08-04T14:30:00.000Z,0.83,13709.0,United Kingdom,2011,August,9.96
563076,22568,FELTCRAFT CUSHION OWL,24,2011-08-11T16:12:00.000Z,3.39,14646.0,Netherlands,2011,August,81.36
569401,23129,HEART SHAPED HOLLY WREATH,4,2011-10-04T08:56:00.000Z,4.15,15111.0,United Kingdom,2011,October,16.6
575668,23581,JUMBO BAG PAISLEY PARK,1,2011-11-10T14:59:00.000Z,2.08,18283.0,United Kingdom,2011,November,2.08
550973,22925,BLUE GIANT GARDEN THERMOMETER,4,2011-04-21T17:06:00.000Z,5.95,14031.0,United Kingdom,2011,April,23.8
C562147,21232,STRAWBERRY CERAMIC TRINKET BOX,-1,2011-08-03T10:47:00.000Z,1.25,16180.0,United Kingdom,2011,August,-1.25
559684,85099B,JUMBO BAG RED RETROSPOT,20,2011-07-11T15:05:00.000Z,2.08,14367.0,United Kingdom,2011,July,41.6
577296,22574,HEART WOODEN CHRISTMAS DECORATION,4,2011-11-18T12:47:00.000Z,0.85,17286.0,United Kingdom,2011,November,3.4
578082,35970,ZINC FOLKART SLEIGH BELLS,12,2011-11-22T16:33:00.000Z,1.69,12775.0,Netherlands,2011,November,20.28
555147,21329,DINOSAURS  WRITING SET,12,2011-05-31T15:41:00.000Z,1.65,13505.0,Switzerland,2011,May,19.8
577504,23199,JUMBO BAG APPLES,2,2011-11-20T12:36:00.000Z,2.08,14159.0,United Kingdom,2011,November,4.16
577156,22061,LARGE CAKE STAND  HANGING STRAWBERY,2,2011-11-18T09:57:00.000Z,9.95,13471.0,United Kingdom,2011,November,19.9
563073,22023,EMPIRE BIRTHDAY CARD,12,2011-08-11T15:56:00.000Z,0.42,18235.0,United Kingdom,2011,August,5.04
561471,23209,LUNCH BAG DOILEY PATTERN,20,2011-07-27T13:14:00.000Z,1.65,14911.0,EIRE,2011,July,33.0
550320,22960,JAM MAKING SET WITH JARS,5,2011-04-17T12:38:00.000Z,4.25,12748.0,United Kingdom,2011,April,21.25
560106,22726,ALARM CLOCK BAKELIKE GREEN,3,2011-07-14T20:01:00.000Z,3.75,17554.0,United Kingdom,2011,July,11.25
565766,22982,PANTRY PASTRY BRUSH,1,2011-09-06T14:23:00.000Z,1.25,17841.0,United Kingdom,2011,September,1.25
570244,22603,CHRISTMAS RETROSPOT TREE WOOD,14,2011-10-09T16:05:00.000Z,0.85,14514.0,United Kingdom,2011,October,11.9
568650,20674,GREEN POLKADOT BOWL,16,2011-09-28T11:56:00.000Z,1.25,13505.0,Switzerland,2011,September,20.0
561488,22534,MAGIC DRAWING SLATE SPACEBOY,24,2011-07-27T13:51:00.000Z,0.42,16609.0,United Kingdom,2011,July,10.08
562199,23207,LUNCH BAG ALPHABET DESIGN,1,2011-08-03T12:20:00.000Z,1.65,12748.0,United Kingdom,2011,August,1.65
578858,21889,WOODEN BOX OF DOMINOES,6,2011-11-27T11:22:00.000Z,1.25,18145.0,United Kingdom,2011,November,7.5
575146,22553,PLASTERS IN TIN SKULLS,72,2011-11-08T15:45:00.000Z,1.65,17313.0,United Kingdom,2011,November,118.8
577057,23080,RED METAL BOX TOP SECRET,1,2011-11-17T14:26:00.000Z,8.25,12748.0,United Kingdom,2011,November,8.25
547583,22966,GINGERBREAD MAN COOKIE CUTTER,42,2011-03-24T11:07:00.000Z,1.25,12901.0,United Kingdom,2011,March,52.5
552734,22629,SPACEBOY LUNCH BOX,64,2011-05-11T10:49:00.000Z,1.65,17428.0,United Kingdom,2011,May,105.6
546236,22751,FELTCRAFT PRINCESS OLIVIA DOLL,4,2011-03-10T12:48:00.000Z,3.75,12370.0,Cyprus,2011,March,15.0
555573,22178,VICTORIAN GLASS HANGING T-LIGHT,6,2011-06-05T15:46:00.000Z,1.25,15349.0,United Kingdom,2011,June,7.5
555851,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,3,2011-06-07T13:37:00.000Z,0.85,13050.0,United Kingdom,2011,June,2.55
556248,22918,HERB MARKER PARSLEY,12,2011-06-09T16:33:00.000Z,0.65,15681.0,United Kingdom,2011,June,7.8
565443,22492,MINI PAINT SET VINTAGE,36,2011-09-04T14:22:00.000Z,0.65,12567.0,France,2011,September,23.4
548714,21251,DINOSAUR HEIGHT CHART STICKER SET,1,2011-04-03T15:07:00.000Z,2.95,17337.0,United Kingdom,2011,April,2.95
555418,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,6,2011-06-03T10:19:00.000Z,3.25,15498.0,United Kingdom,2011,June,19.5
C554336,22431,WATERING CAN BLUE ELEPHANT,-1,2011-05-23T17:20:00.000Z,1.95,12474.0,Germany,2011,May,-1.95
555945,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4,2011-06-08T10:36:00.000Z,4.95,17409.0,United Kingdom,2011,June,19.8
557742,23252,VINTAGE RED ENAMEL TRIM JUG,8,2011-06-22T11:46:00.000Z,3.75,14911.0,EIRE,2011,June,30.0
567183,22865,HAND WARMER OWL DESIGN,2,2011-09-18T15:32:00.000Z,2.1,14769.0,United Kingdom,2011,September,4.2
571676,23331,DECORATIVE WICKER HEART SMALL,2,2011-10-18T13:29:00.000Z,0.63,16910.0,United Kingdom,2011,October,1.26
548974,22147,FELTCRAFT BUTTERFLY HEARTS,12,2011-04-05T11:47:00.000Z,1.45,15194.0,United Kingdom,2011,April,17.4
552457,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-05-09T14:40:00.000Z,1.25,16477.0,United Kingdom,2011,May,15.0
562031,15056N,EDWARDIAN PARASOL NATURAL,2,2011-08-01T17:37:00.000Z,5.95,16984.0,United Kingdom,2011,August,11.9
572923,22813,PACK 3 BOXES BIRD PANNETONE,12,2011-10-27T08:35:00.000Z,1.95,15948.0,United Kingdom,2011,October,23.4
553671,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-05-18T12:37:00.000Z,0.95,13659.0,United Kingdom,2011,May,0.95
572183,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-10-21T10:50:00.000Z,3.75,16153.0,United Kingdom,2011,October,15.0
554093,82580,BATHROOM METAL SIGN,12,2011-05-22T12:49:00.000Z,0.55,14837.0,United Kingdom,2011,May,6.6
562809,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2011-08-09T15:12:00.000Z,6.95,16775.0,United Kingdom,2011,August,13.9
558759,22271,FELTCRAFT DOLL ROSIE,2,2011-07-03T12:36:00.000Z,2.95,13148.0,United Kingdom,2011,July,5.9
575751,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-11-11T10:32:00.000Z,1.25,14911.0,EIRE,2011,November,15.0
542741,21063,PARTY INVITES JAZZ HEARTS,6,2011-01-31T16:02:00.000Z,0.85,17375.0,United Kingdom,2011,January,5.1
538171,22367,CHILDRENS APRON SPACEBOY DESIGN,4,2010-12-09T20:01:00.000Z,1.95,17530.0,United Kingdom,2010,December,7.8
564338,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2011-08-24T14:41:00.000Z,2.55,12649.0,Germany,2011,August,15.3
544484,21903,MAN FLU METAL SIGN,12,2011-02-21T11:10:00.000Z,2.1,15321.0,United Kingdom,2011,February,25.2
558875,85131A,BEADED PEARL HEART WHITE ON STICK,3,2011-07-04T13:35:00.000Z,1.25,13301.0,United Kingdom,2011,July,3.75
542268,22435,SET OF 9 HEART SHAPED BALLOONS,12,2011-01-27T08:30:00.000Z,1.25,15358.0,United Kingdom,2011,January,15.0
552956,48129,DOORMAT TOPIARY,2,2011-05-12T12:34:00.000Z,7.95,12431.0,Australia,2011,May,15.9
537362,22557,PLASTERS IN TIN VINTAGE PAISLEY,3,2010-12-06T12:34:00.000Z,1.65,17596.0,United Kingdom,2010,December,4.95
555004,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,2011-05-31T09:37:00.000Z,0.85,13549.0,United Kingdom,2011,May,10.2
563213,23322,LARGE WHITE HEART OF WICKER,5,2011-08-14T12:55:00.000Z,2.95,16115.0,United Kingdom,2011,August,14.75
555385,23162,REGENCY TEA STRAINER,2,2011-06-02T15:22:00.000Z,3.75,15658.0,United Kingdom,2011,June,7.5
544667,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,16,2011-02-22T15:09:00.000Z,3.75,17511.0,United Kingdom,2011,February,60.0
539010,20713,JUMBO BAG OWLS,2,2010-12-15T13:24:00.000Z,1.95,15005.0,United Kingdom,2010,December,3.9
569371,22588,CARD HOLDER GINGHAM HEART,2,2011-10-03T15:52:00.000Z,2.89,14651.0,United Kingdom,2011,October,5.78
577689,23298,SPOTTY BUNTING,3,2011-11-21T11:29:00.000Z,4.95,17664.0,United Kingdom,2011,November,14.85
562219,22497,SET OF 2 TINS VINTAGE BATHROOM,4,2011-08-03T14:14:00.000Z,4.25,15089.0,United Kingdom,2011,August,17.0
562841,22681,FRENCH BLUE METAL DOOR SIGN 6,10,2011-08-09T16:42:00.000Z,1.25,17675.0,United Kingdom,2011,August,12.5
576593,22904,CALENDAR PAPER CUT DESIGN,2,2011-11-15T14:48:00.000Z,2.95,15720.0,United Kingdom,2011,November,5.9
573377,23182,TOILET SIGN OCCUPIED OR VACANT,2,2011-10-30T13:51:00.000Z,0.83,14653.0,United Kingdom,2011,October,1.66
567912,21071,VINTAGE BILLBOARD DRINK ME MUG,2,2011-09-22T17:07:00.000Z,1.25,15555.0,United Kingdom,2011,September,2.5
543539,22667,RECIPE BOX RETROSPOT,3,2011-02-09T14:18:00.000Z,2.95,17757.0,United Kingdom,2011,February,8.85
560125,23319,BOX OF 6 MINI 50'S CRACKERS,1,2011-07-15T10:44:00.000Z,2.49,18118.0,United Kingdom,2011,July,2.49
553197,21169,YOU'RE CONFUSING ME METAL SIGN,1,2011-05-15T14:32:00.000Z,1.69,17263.0,United Kingdom,2011,May,1.69
576071,23203,JUMBO BAG VINTAGE DOILY,1,2011-11-13T16:03:00.000Z,2.08,18069.0,United Kingdom,2011,November,2.08
562348,21931,JUMBO STORAGE BAG SUKI,100,2011-08-04T12:36:00.000Z,1.79,17511.0,United Kingdom,2011,August,179.0
560535,22985,WRAP BILLBOARD FONTS DESIGN,50,2011-07-19T12:13:00.000Z,0.42,13167.0,United Kingdom,2011,July,21.0
574544,22028,PENNY FARTHING BIRTHDAY CARD,12,2011-11-04T14:49:00.000Z,0.42,17084.0,United Kingdom,2011,November,5.04
575007,22483,RED GINGHAM TEDDY BEAR,6,2011-11-08T11:20:00.000Z,2.95,14140.0,United Kingdom,2011,November,17.7
554151,22029,SPACEBOY BIRTHDAY CARD,12,2011-05-23T11:07:00.000Z,0.42,14049.0,United Kingdom,2011,May,5.04
554509,85049F,BABY BOOM RIBBONS,1,2011-05-24T15:45:00.000Z,1.25,17375.0,United Kingdom,2011,May,1.25
549543,35965,FOLKART HEART NAPKIN RINGS,6,2011-04-10T11:14:00.000Z,0.79,18118.0,United Kingdom,2011,April,4.74
541005,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2011-01-13T10:39:00.000Z,1.95,16161.0,United Kingdom,2011,January,3.9
540561,82494L,WOODEN FRAME ANTIQUE WHITE,6,2011-01-10T10:32:00.000Z,2.95,13004.0,United Kingdom,2011,January,17.7
546998,22507,MEMO BOARD RETROSPOT  DESIGN,1,2011-03-18T13:32:00.000Z,4.95,16023.0,United Kingdom,2011,March,4.95
549016,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-04-05T15:20:00.000Z,2.95,16696.0,United Kingdom,2011,April,17.7
558870,15056BL,EDWARDIAN PARASOL BLACK,120,2011-07-04T12:58:00.000Z,4.95,14145.0,United Kingdom,2011,July,594.0
564017,22900,SET 2 TEA TOWELS I LOVE LONDON,6,2011-08-22T11:44:00.000Z,3.25,14057.0,United Kingdom,2011,August,19.5
541530,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2011-01-19T10:56:00.000Z,0.85,14769.0,United Kingdom,2011,January,10.2
560385,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1,2011-07-18T12:53:00.000Z,4.95,14583.0,United Kingdom,2011,July,4.95
C559334,20897,VINTAGE NOTEBOOK PARIS DAYS,-6,2011-07-07T15:50:00.000Z,2.95,16581.0,United Kingdom,2011,July,-17.7
577723,22726,ALARM CLOCK BAKELIKE GREEN,3,2011-11-21T12:36:00.000Z,3.75,16713.0,United Kingdom,2011,November,11.25
564042,23356,LOVE HOT WATER BOTTLE,1,2011-08-22T12:52:00.000Z,5.95,15443.0,United Kingdom,2011,August,5.95
562558,22383,LUNCH BAG SUKI DESIGN,1,2011-08-05T16:43:00.000Z,1.65,13451.0,United Kingdom,2011,August,1.65
547892,POST,POSTAGE,6,2011-03-28T10:15:00.000Z,18.0,12669.0,France,2011,March,108.0
557804,23032,DRAWER KNOB CRACKLE GLAZE IVORY,12,2011-06-23T10:24:00.000Z,1.65,18198.0,United Kingdom,2011,June,19.8
573577,22142,CHRISTMAS CRAFT WHITE FAIRY,100,2011-10-31T14:12:00.000Z,1.25,17396.0,United Kingdom,2011,October,125.0
571219,21506,"FANCY FONT BIRTHDAY CARD,",12,2011-10-14T13:35:00.000Z,0.42,15601.0,United Kingdom,2011,October,5.04
537653,21260,FIRST AID TIN,1,2010-12-07T15:54:00.000Z,3.25,17897.0,United Kingdom,2010,December,3.25
579468,22832,BROCANTE SHELF WITH HOOKS,1,2011-11-29T14:58:00.000Z,10.75,14711.0,United Kingdom,2011,November,10.75
561027,21531,RED RETROSPOT SUGAR JAM BOWL,24,2011-07-24T10:54:00.000Z,2.1,13802.0,United Kingdom,2011,July,50.4
572082,23318,BOX OF 6 MINI VINTAGE CRACKERS,12,2011-10-20T14:18:00.000Z,2.49,17672.0,United Kingdom,2011,October,29.88
559862,22356,CHARLOTTE BAG PINK POLKADOT,10,2011-07-13T10:30:00.000Z,0.85,12782.0,Portugal,2011,July,8.5
572096,21620,SET OF 4 ROSE BOTANICAL CANDLES,2,2011-10-20T15:20:00.000Z,1.25,16813.0,United Kingdom,2011,October,2.5
567482,23211,RED ROCKING HORSE HAND PAINTED,4,2011-09-20T13:42:00.000Z,1.25,16464.0,United Kingdom,2011,September,5.0
573340,35967,FOLK ART METAL STAR T-LIGHT HOLDER,12,2011-10-30T11:55:00.000Z,0.38,14159.0,United Kingdom,2011,October,4.56
552315,23256,CHILDRENS CUTLERY SPACEBOY,4,2011-05-08T16:10:00.000Z,4.15,12700.0,France,2011,May,16.6
546769,22248,DECORATION  PINK CHICK MAGIC GARDEN,16,2011-03-16T14:57:00.000Z,0.85,17504.0,United Kingdom,2011,March,13.6
543055,48184,DOORMAT ENGLISH ROSE,2,2011-02-03T10:41:00.000Z,7.95,12502.0,Spain,2011,February,15.9
566275,85150,LADIES & GENTLEMEN METAL SIGN,6,2011-09-11T13:58:00.000Z,2.55,16549.0,United Kingdom,2011,September,15.3
562455,16156S,WRAP PINK FAIRY CAKES,25,2011-08-05T10:32:00.000Z,0.42,18097.0,United Kingdom,2011,August,10.5
543447,21927,BLUE/CREAM STRIPE CUSHION COVER,12,2011-02-08T12:01:00.000Z,1.25,16265.0,United Kingdom,2011,February,15.0
558074,22356,CHARLOTTE BAG PINK POLKADOT,100,2011-06-24T16:38:00.000Z,0.72,13791.0,United Kingdom,2011,June,72.0
579267,23534,WALL ART STOP FOR TEA,3,2011-11-29T09:42:00.000Z,5.95,14961.0,United Kingdom,2011,November,17.85
568346,21154,RED RETROSPOT OVEN GLOVE,1,2011-09-26T15:28:00.000Z,2.46,14096.0,United Kingdom,2011,September,2.46
562999,22384,LUNCH BAG PINK POLKADOT,10,2011-08-11T11:51:00.000Z,1.65,15117.0,United Kingdom,2011,August,16.5
551193,85214,TUB 24 PINK FLOWER PEGS,2,2011-04-27T11:05:00.000Z,1.65,17954.0,United Kingdom,2011,April,3.3
537238,22565,FELTCRAFT HAIRBANDS PINK AND WHITE,5,2010-12-06T10:03:00.000Z,0.85,16161.0,United Kingdom,2010,December,4.25
547644,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-03-24T11:38:00.000Z,2.95,14267.0,United Kingdom,2011,March,17.7
557472,15058A,BLUE POLKADOT GARDEN PARASOL,6,2011-06-20T13:27:00.000Z,7.95,12432.0,Norway,2011,June,47.7
570420,84849D,HOT BATHS SOAP HOLDER,3,2011-10-10T13:33:00.000Z,1.69,17841.0,United Kingdom,2011,October,5.07
573373,22383,LUNCH BAG SUKI DESIGN,1,2011-10-30T13:37:00.000Z,1.65,14684.0,United Kingdom,2011,October,1.65
545701,22726,ALARM CLOCK BAKELIKE GREEN,1,2011-03-06T15:17:00.000Z,3.75,17107.0,United Kingdom,2011,March,3.75
566726,23135,SMALL ZINC HEART WALL ORGANISER,1,2011-09-14T13:12:00.000Z,5.75,15021.0,United Kingdom,2011,September,5.75
551656,20685,DOORMAT RED RETROSPOT,2,2011-05-03T12:10:00.000Z,7.95,14911.0,EIRE,2011,May,15.9
580092,22726,ALARM CLOCK BAKELIKE GREEN,6,2011-12-01T14:38:00.000Z,3.75,13969.0,United Kingdom,2011,December,22.5
543370,21756,BATH BUILDING BLOCK WORD,3,2011-02-07T14:51:00.000Z,5.95,12359.0,Cyprus,2011,February,17.85
580295,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2011-12-02T13:49:00.000Z,2.95,17841.0,United Kingdom,2011,December,2.95
557790,21166,COOK WITH WINE METAL SIGN,12,2011-06-22T16:33:00.000Z,2.08,14099.0,United Kingdom,2011,June,24.96
552669,23155,KNICKERBOCKERGLORY MAGNET ASSORTED,6,2011-05-10T15:05:00.000Z,0.83,16710.0,United Kingdom,2011,May,4.98
563638,21427,SKULLS STORAGE BOX SMALL,2,2011-08-18T10:36:00.000Z,2.1,15311.0,United Kingdom,2011,August,4.2
555015,84596F,SMALL MARSHMALLOWS PINK BOWL,16,2011-05-31T10:45:00.000Z,0.42,16558.0,United Kingdom,2011,May,6.72
556203,23221,REINDEER HEART DECORATION SILVER,12,2011-06-09T13:09:00.000Z,0.83,12399.0,Belgium,2011,June,9.96
558933,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,8,2011-07-05T10:39:00.000Z,2.95,16098.0,United Kingdom,2011,July,23.6
579152,21987,PACK OF 6 SKULL PAPER CUPS,12,2011-11-28T13:26:00.000Z,0.65,12479.0,Germany,2011,November,7.8
576339,22429,ENAMEL MEASURING JUG CREAM,1,2011-11-14T15:27:00.000Z,8.29,14096.0,United Kingdom,2011,November,8.29
540454,22720,SET OF 3 CAKE TINS PANTRY DESIGN,24,2011-01-07T11:57:00.000Z,4.25,16191.0,United Kingdom,2011,January,102.0
